box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
8431,1,6.36024488859677639e+00,1,1.56700700529999995e+04,8.21671731476226697e+00,1.19279896086199813e+01,1.70415974699507061e-01,1.60000000000000000e+01,1.19559339836595768e+00
8471,1,1.10758544334274234e+00,2,1.60546348409999991e+04,8.30923905667861540e+00,1.18575917035672198e+01,1.07661687439668863e-01,1.60000000000000000e+01,1.19559339836595768e+00
8511,1,3.98137812758614018e+00,1,1.61178996179999995e+04,8.29275847484340112e+00,1.18942306764892116e+01,1.18159864891037317e-01,1.60000000000000000e+01,1.19559339836595768e+00
8551,1,6.93889946827561133e+00,1,1.61459844290000001e+04,8.11291664953813196e+00,1.21340452538002186e+01,1.69345103078822917e-01,1.60000000000000000e+01,1.19559339836595768e+00
8591,1,3.16031501639768777e+01,1,1.62023639469999998e+04,8.16706083611859057e+00,1.21221141322958559e+01,1.12466297815740690e-01,1.60000000000000000e+01,1.19559339836595768e+00
8631,1,5.85986982145655588e+00,1,1.62496077819999991e+04,8.29714997392660081e+00,1.17234238933538677e+01,1.22624222613858469e-01,1.60000000000000000e+01,1.19559339836595768e+00
8671,1,3.25022213022437256e+00,1,1.62789938230000007e+04,8.16459413989620941e+00,1.18647371931765324e+01,1.54389376853077881e-01,1.60000000000000000e+01,1.19559339836595768e+00
8711,1,2.87321845843077028e+00,0,1.62947236439999997e+04,8.07367649645519414e+00,1.21351551543443552e+01,1.03628959942706406e-01,1.60000000000000000e+01,1.19559339836595768e+00
8751,1,3.03719064219350798e-01,2,1.64054153450000013e+04,8.19453869354398812e+00,1.18901046399586861e+01,1.15773824623428195e-01,1.60000000000000000e+01,1.19559339836595768e+00
8791,1,7.35290755779647043e+00,1,1.64170192639999987e+04,8.40674495429648871e+00,1.14527623733374764e+01,1.49536164271185185e-01,1.60000000000000000e+01,1.19559339836595768e+00
8831,1,1.13517663020003567e+00,2,1.64771813159999983e+04,8.20868677709654548e+00,1.18618467434985391e+01,9.90935628975073424e-02,1.60000000000000000e+01,1.19559339836595768e+00
8871,1,1.17452255801058385e+01,1,1.65030284209999991e+04,8.22126458822476636e+00,1.18060819300636588e+01,1.12799304933701744e-01,1.60000000000000000e+01,1.19559339836595768e+00
8911,1,1.47636007823247439e+00,2,1.65873803860000007e+04,8.35008596556295224e+00,1.15281700811427168e+01,1.56303980326439967e-01,1.60000000000000000e+01,1.19559339836595768e+00
8951,1,4.64809854363497266e+00,2,1.66417245880000009e+04,8.44919687666344998e+00,1.15550594687639112e+01,9.58448427889847521e-02,1.60000000000000000e+01,1.19559339836595768e+00
8991,1,1.10243891534415361e+01,2,1.67542492539999985e+04,8.17064053681219171e+00,1.17735781053626916e+01,1.01027304266821799e-01,1.60000000000000000e+01,1.19559339836595768e+00
9031,1,8.60079759747108596e-01,2,1.68479109949999984e+04,8.43980325059891179e+00,1.13971177280983902e+01,1.53807437213869136e-01,1.60000000000000000e+01,1.19559339836595768e+00
